,state,act_part_2017,act_total_2017,sat_part_2017,sat_total_2017,act_part_2018,act_total_2018,sat_part_2018,sat_total_2018,sat_req,act_req
0,Alabama,100.0,19.2,5.0,1165,100.0,19.1,6.0,1166,0,1
1,Alaska,65.0,19.8,38.0,1080,33.0,20.8,43.0,1106,0,0
2,Arizona,62.0,19.7,30.0,1116,66.0,19.2,29.0,1149,0,0
3,Arkansas,100.0,19.4,3.0,1208,100.0,19.4,5.0,1169,0,0
4,California,31.0,22.8,53.0,1055,27.0,22.7,60.0,1076,0,0
5,Colorado,100.0,20.8,11.0,1201,30.0,23.9,100.0,1025,1,0
6,Connecticut,31.0,25.2,100.0,1041,26.0,25.6,100.0,1053,1,0
7,Delaware,18.0,24.1,100.0,996,17.0,23.8,100.0,998,1,0
8,Florida,73.0,19.8,83.0,1017,66.0,19.9,56.0,1099,0,0
9,Georgia,55.0,21.4,61.0,1050,53.0,21.4,70.0,1064,0,0
10,Hawaii,90.0,19.0,55.0,1085,89.0,18.9,56.0,1010,0,1
11,Idaho,38.0,22.3,93.0,1005,36.0,22.3,100.0,1001,0,0
12,Illinois,93.0,21.4,9.0,1115,43.0,23.9,99.0,1019,1,0
13,Indiana,35.0,22.6,63.0,1074,32.0,22.5,63.0,1074,0,0
14,Iowa,67.0,21.9,2.0,1275,68.0,21.8,3.0,1265,0,0
15,Kansas,73.0,21.7,4.0,1260,71.0,21.6,4.0,1265,0,0
16,Kentucky,100.0,20.0,4.0,1247,100.0,20.2,4.0,1248,0,1
17,Louisiana,100.0,19.5,4.0,1198,100.0,19.2,4.0,1210,0,1
18,Maine,8.0,24.3,95.0,1012,7.0,24.0,99.0,1013,1,0
19,Maryland,28.0,23.6,69.0,1060,31.0,22.5,76.0,1080,0,0
20,Massachusetts,29.0,25.4,76.0,1107,25.0,25.5,80.0,1125,0,0
21,Michigan,29.0,24.1,100.0,1005,22.0,24.4,100.0,1011,1,0
22,Minnesota,100.0,21.5,3.0,1295,99.0,21.3,4.0,1298,0,0
23,Missouri,100.0,20.4,3.0,1271,100.0,20.0,4.0,1262,0,1
24,Montana,100.0,20.3,10.0,1196,100.0,20.0,10.0,1198,0,1
25,Nebraska,84.0,21.4,3.0,1253,100.0,20.1,3.0,1252,0,1
26,Nevada,100.0,17.8,26.0,1116,100.0,17.7,23.0,1140,0,1
27,New Hampshire,18.0,25.5,96.0,1052,16.0,25.1,96.0,1063,1,0
28,New Jersey,34.0,23.9,70.0,1056,31.0,23.7,82.0,1094,0,0
29,New Mexico,66.0,19.7,11.0,1138,66.0,19.4,16.0,1093,0,0
30,New York,31.0,24.2,67.0,1052,27.0,24.5,79.0,1068,0,0
31,North Carolina,100.0,19.1,49.0,1081,100.0,19.1,52.0,1098,0,1
32,North Dakota,98.0,20.3,2.0,1256,98.0,20.3,2.0,1283,0,0
33,Ohio,75.0,22.0,12.0,1149,100.0,20.3,18.0,1099,0,0
34,Oregon,40.0,21.8,43.0,1108,42.0,21.3,48.0,1117,0,0
35,Pennsylvania,23.0,23.7,65.0,1071,20.0,23.5,70.0,1086,0,0
36,Rhode Island,21.0,24.0,71.0,1062,15.0,24.2,97.0,1018,0,0
37,South Carolina,100.0,18.7,50.0,1064,100.0,18.3,55.0,1070,0,1
38,South Dakota,80.0,21.8,3.0,1216,77.0,21.9,3.0,1240,0,0
39,Tennessee,100.0,19.8,5.0,1228,100.0,19.6,6.0,1231,0,0
40,Texas,45.0,20.7,62.0,1020,41.0,20.6,66.0,1032,0,0
41,Utah,100.0,20.3,3.0,1238,100.0,20.4,4.0,1010,0,1
42,Vermont,29.0,23.6,60.0,1114,24.0,24.1,64.0,1120,0,0
43,Virginia,29.0,23.8,65.0,1102,24.0,23.9,68.0,1117,0,0
44,Washington,29.0,21.9,64.0,1075,24.0,22.2,69.0,1081,0,0
45,West Virginia,69.0,20.4,14.0,1086,65.0,20.3,28.0,999,0,0
46,Wisconsin,100.0,20.5,3.0,1291,100.0,20.5,3.0,1294,0,1
47,Wyoming,100.0,20.2,3.0,1230,100.0,20.0,3.0,1257,0,1
